# Экспорт данных системы потребителей энергии
# Дата: 2025-12-08 20:07:52
# Устройств: 3

=== ТЕКУЩЕЕ СОСТОЯНИЕ УСТРОЙСТВ ===
ID,Название,Тип,Состояние,Мощность (Вт),Доп. информация
kettle-1,Чайник #1,Kettle,Выключено,0,00,Температура: 20,0°C
lamp-2,Лампа #2,Lamp,Работа от сети,60,00,N/A
computer-3,Компьютер #3,Computer,Работа от сети,300,00,Батарея: 100%

=== ИСТОРИЯ ПОТРЕБЛЕНИЯ ===
Устройство,Время,Состояние,Мощность (Вт)
Чайник #1,2025-12-08 19:57:52,Выключено,0,00
Чайник #1,2025-12-08 19:58:52,Выключено,0,00
Чайник #1,2025-12-08 19:59:52,Выключено,0,00
Чайник #1,2025-12-08 20:00:52,Выключено,0,00
Чайник #1,2025-12-08 20:01:52,Выключено,0,00
Чайник #1,2025-12-08 20:02:52,Выключено,0,00
Чайник #1,2025-12-08 20:03:52,Выключено,0,00
Чайник #1,2025-12-08 20:04:52,Выключено,0,00
Чайник #1,2025-12-08 20:05:52,Выключено,0,00
Чайник #1,2025-12-08 20:06:52,Выключено,0,00
Лампа #2,2025-12-08 19:57:52,Работа от сети,60,00
Лампа #2,2025-12-08 19:58:52,Работа от сети,60,00
Лампа #2,2025-12-08 19:59:52,Работа от сети,60,00
Лампа #2,2025-12-08 20:00:52,Работа от сети,60,00
Лампа #2,2025-12-08 20:01:52,Работа от сети,60,00
Лампа #2,2025-12-08 20:02:52,Работа от сети,60,00
Лампа #2,2025-12-08 20:03:52,Работа от сети,60,00
Лампа #2,2025-12-08 20:04:52,Работа от сети,60,00
Лампа #2,2025-12-08 20:05:52,Работа от сети,60,00
Лампа #2,2025-12-08 20:06:52,Работа от сети,60,00
Компьютер #3,2025-12-08 19:57:52,Работа от сети,300,00
Компьютер #3,2025-12-08 19:58:52,Работа от сети,300,00
Компьютер #3,2025-12-08 19:59:52,Работа от сети,300,00
Компьютер #3,2025-12-08 20:00:52,Работа от сети,300,00
Компьютер #3,2025-12-08 20:01:52,Работа от сети,300,00
Компьютер #3,2025-12-08 20:02:52,Работа от сети,300,00
Компьютер #3,2025-12-08 20:03:52,Работа от сети,300,00
Компьютер #3,2025-12-08 20:04:52,Работа от сети,300,00
Компьютер #3,2025-12-08 20:05:52,Работа от сети,300,00
Компьютер #3,2025-12-08 20:06:52,Работа от сети,300,00

